Wave,Gender,Differential
1,Women,0.0185236
2,Women,0.0723125
3,Women,0.0269071
4,Women,0.0520258
5,Women,0.0470488
6,Women,0.0497434
7,Women,0.0555566
8,Women,0.0606661
9,Women,0.1114069
10,Women,0.092373
11,Women,0.0822286
12,Women,0.0938187
13,Women,0.065067
14,Women,0.0898926
15,Women,0.0955333
16,Women,0.098995
17,Women,0.0966708
18,Women,0.0899417
19,Women,0.0920919
1,Men,0.0415753
2,Men,0.0417513
3,Men,0.0455109
4,Men,0.043477
5,Men,0.0359565
6,Men,0.0217075
7,Men,0.0230953
8,Men,0.0175312
9,Men,0.0581845
10,Men,0.0571641
11,Men,0.0445591
12,Men,0.0302686
13,Men,0.0419134
14,Men,0.0436715
15,Men,0.0680667
16,Men,0.0852131
17,Men,0.0681892
18,Men,0.065534
19,Men,0.0770235