="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="Ln real wage",="Ln real wage",="Ln real wage",="Ln real wage",="Ln real wage",="Ln real wage"
="q1",="",="",="",="",="",=""
="Public Sector",="0.121***",="0.162***",="0.055***",="0.126***",="0.151***",="0.078***"
="",="(0.016)",="(0.016)",="(0.017)",="(0.013)",="(0.012)",="(0.014)"
="Experience",="0.017***",="0.017***",="0.017***",="0.016***",="0.016***",="0.016***"
="",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)"
="Experience^{2}",="-0.000***",="-0.000***",="-0.000***",="-0.000***",="-0.000***",="-0.000***"
="",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)"
="University",="0.139***",="0.230***",="0.118***",="0.150***",="0.220***",="0.141***"
="",="(0.018)",="(0.018)",="(0.020)",="(0.016)",="(0.013)",="(0.017)"
="Diploma / Cert",="0.038***",="0.063***",="0.031**",="0.038***",="0.034**",="0.040***"
="",="(0.013)",="(0.012)",="(0.013)",="(0.013)",="(0.013)",="(0.013)"
="1 child",="0.008",="",="0.002",="-0.016",="",="-0.011"
="",="(0.014)",="",="(0.017)",="(0.014)",="",="(0.014)"
="2 children",="0.044***",="",="0.044***",="0.018",="",="0.022"
="",="(0.015)",="",="(0.016)",="(0.014)",="",="(0.014)"
="3 children",="0.026",="",="0.024",="0.014",="",="0.015"
="",="(0.023)",="",="(0.023)",="(0.019)",="",="(0.019)"
="4+ children",="0.012",="",="0.016",="0.001",="",="-0.011"
="",="(0.031)",="",="(0.034)",="(0.049)",="",="(0.051)"
="Poor health",="-0.059***",="-0.062***",="-0.060***",="-0.035**",="-0.052***",="-0.036**"
="",="(0.014)",="(0.011)",="(0.014)",="(0.014)",="(0.013)",="(0.014)"
="Born - Eng speaking",="0.024",="0.045***",="0.020",="0.032",="0.034**",="0.022"
="",="(0.019)",="(0.017)",="(0.021)",="(0.022)",="(0.017)",="(0.021)"
="Born - Non-Eng speaking",="-0.062***",="-0.074***",="-0.067***",="-0.023",="-0.068***",="-0.022"
="",="(0.019)",="(0.019)",="(0.018)",="(0.017)",="(0.015)",="(0.015)"
="Married / De Facto",="0.088***",="0.085***",="0.097***",="0.028*",="0.039***",="0.034**"
="",="(0.018)",="(0.016)",="(0.018)",="(0.016)",="(0.015)",="(0.016)"
="Seperated / Widowed",="0.035",="0.013",="0.043",="0.030",="0.030",="0.034"
="",="(0.029)",="(0.026)",="(0.029)",="(0.021)",="(0.018)",="(0.021)"
="Rural",="-0.100***",="-0.107***",="-0.067***",="-0.031",="-0.032*",="-0.014"
="",="(0.024)",="(0.023)",="(0.024)",="(0.019)",="(0.019)",="(0.017)"
="VIC",="-0.031*",="",="-0.047***",="-0.037**",="",="-0.040***"
="",="(0.018)",="",="(0.017)",="(0.015)",="",="(0.014)"
="WA",="0.041*",="",="0.046**",="0.013",="",="0.016"
="",="(0.021)",="",="(0.020)",="(0.018)",="",="(0.018)"
="QLD",="-0.007",="",="-0.016",="-0.006",="",="-0.005"
="",="(0.015)",="",="(0.017)",="(0.014)",="",="(0.014)"
="SA",="-0.011",="",="-0.025",="-0.006",="",="-0.011"
="",="(0.019)",="",="(0.021)",="(0.019)",="",="(0.021)"
="NT",="0.046",="",="0.078",="-0.098",="",="-0.102"
="",="(0.069)",="",="(0.081)",="(0.084)",="",="(0.092)"
="TAS",="-0.051*",="",="-0.049*",="-0.051",="",="-0.052"
="",="(0.030)",="",="(0.030)",="(0.040)",="",="(0.037)"
="ACT",="0.116***",="",="0.091**",="0.075**",="",="0.052*"
="",="(0.037)",="",="(0.039)",="(0.031)",="",="(0.029)"
="Shiftwork",="0.042**",="",="0.000",="0.012",="",="-0.017"
="",="(0.017)",="",="(0.016)",="(0.017)",="",="(0.016)"
="Part Time",="-0.167***",="-0.149***",="-0.132***",="-0.009",="-0.025**",="-0.009"
="",="(0.033)",="(0.032)",="(0.032)",="(0.013)",="(0.011)",="(0.013)"
="41+ hours",="-0.061***",="",="-0.053***",="-0.114***",="",="-0.114***"
="",="(0.011)",="",="(0.011)",="(0.013)",="",="(0.014)"
="Casual",="-0.122***",="-0.137***",="-0.088***",="-0.174***",="-0.205***",="-0.150***"
="",="(0.024)",="(0.025)",="(0.026)",="(0.021)",="(0.019)",="(0.021)"
="Tenure",="0.002**",="0.002**",="0.002**",="0.003***",="0.003***",="0.002***"
="",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)"
="Wave=2",="0.012",="0.006",="0.011",="0.012",="0.019",="0.023"
="",="(0.035)",="(0.018)",="(0.030)",="(0.025)",="(0.020)",="(0.025)"
="Wave=3",="0.027",="0.016",="0.018",="0.020",="0.008",="0.027"
="",="(0.028)",="(0.021)",="(0.030)",="(0.021)",="(0.021)",="(0.025)"
="Wave=4",="0.037",="0.044**",="0.034",="0.031",="0.037*",="0.029"
="",="(0.024)",="(0.020)",="(0.032)",="(0.029)",="(0.021)",="(0.027)"
="Wave=5",="0.043*",="0.044**",="0.051*",="0.044",="0.036*",="0.034"
="",="(0.024)",="(0.022)",="(0.028)",="(0.032)",="(0.021)",="(0.028)"
="Wave=6",="0.067***",="0.084***",="0.073**",="0.037",="0.048**",="0.021"
="",="(0.022)",="(0.018)",="(0.029)",="(0.030)",="(0.021)",="(0.031)"
="Wave=7",="0.083***",="0.083***",="0.084***",="0.113***",="0.119***",="0.093***"
="",="(0.025)",="(0.021)",="(0.032)",="(0.021)",="(0.018)",="(0.024)"
="Wave=8",="0.077***",="0.066***",="0.076**",="0.104***",="0.109***",="0.105***"
="",="(0.026)",="(0.021)",="(0.030)",="(0.023)",="(0.019)",="(0.023)"
="Wave=9",="0.109***",="0.108***",="0.109***",="0.092***",="0.096***",="0.097***"
="",="(0.028)",="(0.021)",="(0.032)",="(0.028)",="(0.024)",="(0.030)"
="Wave=10",="0.132***",="0.132***",="0.135***",="0.120***",="0.121***",="0.115***"
="",="(0.024)",="(0.019)",="(0.026)",="(0.026)",="(0.020)",="(0.026)"
="Wave=11",="0.135***",="0.124***",="0.129***",="0.120***",="0.110***",="0.116***"
="",="(0.022)",="(0.017)",="(0.027)",="(0.021)",="(0.020)",="(0.021)"
="Wave=12",="0.153***",="0.155***",="0.149***",="0.140***",="0.138***",="0.128***"
="",="(0.023)",="(0.019)",="(0.029)",="(0.022)",="(0.018)",="(0.022)"
="Wave=13",="0.138***",="0.138***",="0.143***",="0.119***",="0.131***",="0.124***"
="",="(0.025)",="(0.020)",="(0.028)",="(0.022)",="(0.020)",="(0.023)"
="Wave=14",="0.142***",="0.149***",="0.150***",="0.131***",="0.131***",="0.122***"
="",="(0.022)",="(0.018)",="(0.026)",="(0.022)",="(0.019)",="(0.024)"
="Wave=15",="0.141***",="0.156***",="0.139***",="0.135***",="0.129***",="0.132***"
="",="(0.024)",="(0.017)",="(0.029)",="(0.028)",="(0.024)",="(0.028)"
="Wave=16",="0.177***",="0.186***",="0.169***",="0.127***",="0.131***",="0.125***"
="",="(0.021)",="(0.018)",="(0.028)",="(0.027)",="(0.021)",="(0.026)"
="Wave=17",="0.156***",="0.176***",="0.167***",="0.138***",="0.145***",="0.124***"
="",="(0.023)",="(0.020)",="(0.028)",="(0.030)",="(0.022)",="(0.033)"
="Wave=18",="0.186***",="0.183***",="0.160***",="0.189***",="0.195***",="0.175***"
="",="(0.023)",="(0.020)",="(0.030)",="(0.022)",="(0.018)",="(0.024)"
="Wave=19",="0.193***",="0.203***",="0.187***",="0.194***",="0.191***",="0.188***"
="",="(0.023)",="(0.017)",="(0.031)",="(0.021)",="(0.020)",="(0.024)"
="Technician / Trades",="-0.115***",="",="-0.119***",="-0.169***",="",="-0.174***"
="",="(0.019)",="",="(0.019)",="(0.028)",="",="(0.029)"
="Administration",="-0.087***",="",="-0.133***",="-0.094***",="",="-0.113***"
="",="(0.019)",="",="(0.020)",="(0.019)",="",="(0.019)"
="Machinery",="-0.177***",="",="-0.209***",="-0.200***",="",="-0.203***"
="",="(0.022)",="",="(0.022)",="(0.042)",="",="(0.038)"
="Professional",="0.032*",="",="0.013",="0.033",="",="0.015"
="",="(0.019)",="",="(0.020)",="(0.020)",="",="(0.021)"
="Community / Service",="-0.115***",="",="-0.146***",="-0.233***",="",="-0.234***"
="",="(0.029)",="",="(0.030)",="(0.022)",="",="(0.022)"
="Sales",="-0.231***",="",="-0.232***",="-0.195***",="",="-0.209***"
="",="(0.040)",="",="(0.042)",="(0.022)",="",="(0.025)"
="Labourer",="-0.244***",="",="-0.273***",="-0.276***",="",="-0.297***"
="",="(0.022)",="",="(0.024)",="(0.032)",="",="(0.035)"
="Children",="",="0.021*",="",="",="-0.003",=""
="",="",="(0.011)",="",="",="(0.010)",=""
="union_yes",="",="",="0.033**",="",="",="0.017"
="",="",="",="(0.015)",="",="",="(0.013)"
="firm_size_20_99",="",="",="0.076***",="",="",="0.058***"
="",="",="",="(0.014)",="",="",="(0.014)"
="firm_size_100_199",="",="",="0.110***",="",="",="0.072***"
="",="",="",="(0.021)",="",="",="(0.019)"
="firm_size_200_499",="",="",="0.202***",="",="",="0.101***"
="",="",="",="(0.020)",="",="",="(0.020)"
="firm_size_500",="",="",="0.242***",="",="",="0.173***"
="",="",="",="(0.018)",="",="",="(0.018)"
="firm_size_unknown",="",="",="-0.303",="",="",="-0.118"
="",="",="",="(0.289)",="",="",="(0.134)"
="Constant",="2.662***",="2.497***",="2.623***",="2.646***",="2.489***",="2.624***"
="",="(0.032)",="(0.023)",="(0.039)",="(0.030)",="(0.025)",="(0.032)"
="q2",="",="",="",="",="",=""
="Public Sector",="0.102***",="0.133***",="0.046***",="0.126***",="0.161***",="0.083***"
="",="(0.012)",="(0.014)",="(0.013)",="(0.008)",="(0.010)",="(0.009)"
="Experience",="0.018***",="0.019***",="0.018***",="0.017***",="0.016***",="0.016***"
="",="(0.002)",="(0.002)",="(0.001)",="(0.001)",="(0.001)",="(0.001)"
="Experience^{2}",="-0.000***",="-0.000***",="-0.000***",="-0.000***",="-0.000***",="-0.000***"
="",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)"
="University",="0.181***",="0.296***",="0.166***",="0.153***",="0.254***",="0.143***"
="",="(0.015)",="(0.014)",="(0.014)",="(0.010)",="(0.011)",="(0.011)"
="Diploma / Cert",="0.049***",="0.076***",="0.048***",="0.036***",="0.040***",="0.035***"
="",="(0.010)",="(0.010)",="(0.009)",="(0.009)",="(0.009)",="(0.008)"
="1 child",="0.010",="",="0.007",="-0.008",="",="-0.012"
="",="(0.013)",="",="(0.011)",="(0.009)",="",="(0.009)"
="2 children",="0.052***",="",="0.050***",="0.011",="",="0.013"
="",="(0.012)",="",="(0.012)",="(0.010)",="",="(0.009)"
="3 children",="0.037**",="",="0.044**",="0.019",="",="0.023"
="",="(0.018)",="",="(0.018)",="(0.013)",="",="(0.014)"
="4+ children",="-0.009",="",="-0.014",="-0.005",="",="-0.002"
="",="(0.033)",="",="(0.031)",="(0.028)",="",="(0.026)"
="Poor health",="-0.059***",="-0.061***",="-0.060***",="-0.025***",="-0.041***",="-0.030***"
="",="(0.010)",="(0.010)",="(0.010)",="(0.008)",="(0.008)",="(0.008)"
="Born - Eng speaking",="0.033**",="0.050***",="0.024*",="0.042***",="0.049***",="0.033***"
="",="(0.015)",="(0.017)",="(0.014)",="(0.012)",="(0.014)",="(0.011)"
="Born - Non-Eng speaking",="-0.060***",="-0.084***",="-0.073***",="-0.014",="-0.055***",="-0.022**"
="",="(0.015)",="(0.016)",="(0.014)",="(0.011)",="(0.015)",="(0.011)"
="Married / De Facto",="0.068***",="0.068***",="0.071***",="0.018*",="0.032***",="0.025***"
="",="(0.011)",="(0.012)",="(0.010)",="(0.010)",="(0.011)",="(0.010)"
="Seperated / Widowed",="0.023",="-0.005",="0.028",="0.003",="0.004",="0.010"
="",="(0.021)",="(0.021)",="(0.019)",="(0.013)",="(0.014)",="(0.012)"
="Rural",="-0.081***",="-0.094***",="-0.061***",="-0.020*",="-0.023**",="-0.015"
="",="(0.016)",="(0.015)",="(0.014)",="(0.011)",="(0.011)",="(0.011)"
="VIC",="-0.029**",="",="-0.025**",="-0.040***",="",="-0.042***"
="",="(0.014)",="",="(0.012)",="(0.010)",="",="(0.010)"
="WA",="0.038**",="",="0.054***",="0.003",="",="0.006"
="",="(0.018)",="",="(0.018)",="(0.013)",="",="(0.012)"
="QLD",="-0.020",="",="-0.017",="-0.021**",="",="-0.020**"
="",="(0.013)",="",="(0.013)",="(0.010)",="",="(0.010)"
="SA",="-0.024*",="",="-0.030**",="-0.002",="",="-0.000"
="",="(0.014)",="",="(0.014)",="(0.013)",="",="(0.013)"
="NT",="0.031",="",="0.055",="-0.042",="",="-0.022"
="",="(0.036)",="",="(0.042)",="(0.040)",="",="(0.051)"
="TAS",="-0.081***",="",="-0.062***",="-0.034*",="",="-0.046**"
="",="(0.020)",="",="(0.019)",="(0.020)",="",="(0.020)"
="ACT",="0.122***",="",="0.103***",="0.067**",="",="0.057**"
="",="(0.032)",="",="(0.029)",="(0.027)",="",="(0.023)"
="Shiftwork",="0.067***",="",="0.027**",="0.039***",="",="0.011"
="",="(0.012)",="",="(0.011)",="(0.010)",="",="(0.009)"
="Part Time",="-0.093***",="-0.131***",="-0.081***",="-0.019**",="-0.021***",="-0.009"
="",="(0.019)",="(0.019)",="(0.016)",="(0.008)",="(0.008)",="(0.007)"
="41+ hours",="-0.035***",="",="-0.034***",="-0.096***",="",="-0.091***"
="",="(0.008)",="",="(0.007)",="(0.010)",="",="(0.010)"
="Casual",="-0.041***",="-0.058***",="-0.009",="-0.048***",="-0.074***",="-0.031***"
="",="(0.014)",="(0.013)",="(0.012)",="(0.010)",="(0.010)",="(0.010)"
="Tenure",="0.003***",="0.004***",="0.002***",="0.004***",="0.003***",="0.003***"
="",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)"
="Wave=2",="0.014",="0.013",="-0.002",="0.018",="0.027**",="0.006"
="",="(0.015)",="(0.011)",="(0.016)",="(0.013)",="(0.011)",="(0.014)"
="Wave=3",="0.023",="0.004",="0.016",="0.025*",="0.022*",="0.010"
="",="(0.015)",="(0.014)",="(0.017)",="(0.013)",="(0.012)",="(0.014)"
="Wave=4",="0.038**",="0.038**",="0.039**",="0.051***",="0.040***",="0.044***"
="",="(0.017)",="(0.017)",="(0.016)",="(0.013)",="(0.013)",="(0.014)"
="Wave=5",="0.054***",="0.061***",="0.045***",="0.053***",="0.050***",="0.043***"
="",="(0.018)",="(0.015)",="(0.016)",="(0.016)",="(0.013)",="(0.014)"
="Wave=6",="0.072***",="0.084***",="0.060***",="0.063***",="0.055***",="0.042***"
="",="(0.015)",="(0.014)",="(0.017)",="(0.014)",="(0.014)",="(0.015)"
="Wave=7",="0.094***",="0.092***",="0.087***",="0.090***",="0.099***",="0.081***"
="",="(0.019)",="(0.015)",="(0.016)",="(0.013)",="(0.013)",="(0.014)"
="Wave=8",="0.086***",="0.080***",="0.083***",="0.098***",="0.105***",="0.094***"
="",="(0.015)",="(0.015)",="(0.016)",="(0.013)",="(0.014)",="(0.013)"
="Wave=9",="0.118***",="0.113***",="0.107***",="0.112***",="0.115***",="0.104***"
="",="(0.014)",="(0.014)",="(0.015)",="(0.014)",="(0.013)",="(0.014)"
="Wave=10",="0.128***",="0.135***",="0.114***",="0.129***",="0.126***",="0.107***"
="",="(0.015)",="(0.013)",="(0.016)",="(0.013)",="(0.012)",="(0.015)"
="Wave=11",="0.125***",="0.121***",="0.115***",="0.124***",="0.125***",="0.108***"
="",="(0.014)",="(0.014)",="(0.016)",="(0.013)",="(0.012)",="(0.012)"
="Wave=12",="0.155***",="0.147***",="0.148***",="0.127***",="0.127***",="0.117***"
="",="(0.017)",="(0.015)",="(0.016)",="(0.013)",="(0.012)",="(0.014)"
="Wave=13",="0.145***",="0.144***",="0.136***",="0.116***",="0.120***",="0.105***"
="",="(0.014)",="(0.013)",="(0.016)",="(0.013)",="(0.012)",="(0.014)"
="Wave=14",="0.151***",="0.142***",="0.146***",="0.116***",="0.118***",="0.101***"
="",="(0.014)",="(0.014)",="(0.016)",="(0.015)",="(0.014)",="(0.015)"
="Wave=15",="0.147***",="0.132***",="0.141***",="0.153***",="0.139***",="0.135***"
="",="(0.015)",="(0.013)",="(0.017)",="(0.012)",="(0.013)",="(0.014)"
="Wave=16",="0.175***",="0.168***",="0.153***",="0.147***",="0.151***",="0.130***"
="",="(0.016)",="(0.014)",="(0.016)",="(0.015)",="(0.013)",="(0.014)"
="Wave=17",="0.162***",="0.164***",="0.155***",="0.142***",="0.155***",="0.123***"
="",="(0.015)",="(0.013)",="(0.016)",="(0.013)",="(0.015)",="(0.016)"
="Wave=18",="0.184***",="0.172***",="0.180***",="0.175***",="0.181***",="0.160***"
="",="(0.016)",="(0.014)",="(0.016)",="(0.014)",="(0.014)",="(0.013)"
="Wave=19",="0.191***",="0.180***",="0.172***",="0.190***",="0.195***",="0.174***"
="",="(0.015)",="(0.016)",="(0.016)",="(0.012)",="(0.013)",="(0.013)"
="Technician / Trades",="-0.137***",="",="-0.123***",="-0.219***",="",="-0.208***"
="",="(0.018)",="",="(0.015)",="(0.020)",="",="(0.018)"
="Administration",="-0.159***",="",="-0.178***",="-0.127***",="",="-0.138***"
="",="(0.016)",="",="(0.016)",="(0.015)",="",="(0.015)"
="Machinery",="-0.223***",="",="-0.235***",="-0.246***",="",="-0.280***"
="",="(0.018)",="",="(0.017)",="(0.034)",="",="(0.037)"
="Professional",="0.013",="",="-0.003",="0.032**",="",="0.018"
="",="(0.016)",="",="(0.014)",="(0.016)",="",="(0.015)"
="Community / Service",="-0.173***",="",="-0.177***",="-0.236***",="",="-0.239***"
="",="(0.019)",="",="(0.019)",="(0.018)",="",="(0.017)"
="Sales",="-0.266***",="",="-0.248***",="-0.238***",="",="-0.250***"
="",="(0.020)",="",="(0.019)",="(0.017)",="",="(0.016)"
="Labourer",="-0.286***",="",="-0.293***",="-0.283***",="",="-0.299***"
="",="(0.018)",="",="(0.017)",="(0.018)",="",="(0.019)"
="Children",="",="0.029***",="",="",="-0.001",=""
="",="",="(0.011)",="",="",="(0.008)",=""
="union_yes",="",="",="0.033***",="",="",="0.013"
="",="",="",="(0.010)",="",="",="(0.008)"
="firm_size_20_99",="",="",="0.076***",="",="",="0.046***"
="",="",="",="(0.009)",="",="",="(0.008)"
="firm_size_100_199",="",="",="0.112***",="",="",="0.067***"
="",="",="",="(0.013)",="",="",="(0.011)"
="firm_size_200_499",="",="",="0.185***",="",="",="0.114***"
="",="",="",="(0.013)",="",="",="(0.011)"
="firm_size_500",="",="",="0.223***",="",="",="0.162***"
="",="",="",="(0.012)",="",="",="(0.011)"
="firm_size_unknown",="",="",="-0.098*",="",="",="0.032"
="",="",="",="(0.057)",="",="",="(0.047)"
="Constant",="2.822***",="2.634***",="2.765***",="2.810***",="2.626***",="2.793***"
="",="(0.024)",="(0.018)",="(0.024)",="(0.021)",="(0.018)",="(0.021)"
="q3",="",="",="",="",="",=""
="Public Sector",="0.051***",="0.072***",="0.002",="0.107***",="0.146***",="0.064***"
="",="(0.013)",="(0.016)",="(0.013)",="(0.008)",="(0.011)",="(0.009)"
="Experience",="0.019***",="0.022***",="0.019***",="0.016***",="0.017***",="0.016***"
="",="(0.002)",="(0.002)",="(0.002)",="(0.001)",="(0.002)",="(0.001)"
="Experience^{2}",="-0.000***",="-0.000***",="-0.000***",="-0.000***",="-0.000***",="-0.000***"
="",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)"
="University",="0.218***",="0.371***",="0.193***",="0.172***",="0.317***",="0.169***"
="",="(0.016)",="(0.017)",="(0.016)",="(0.011)",="(0.011)",="(0.011)"
="Diploma / Cert",="0.058***",="0.095***",="0.052***",="0.042***",="0.054***",="0.048***"
="",="(0.010)",="(0.012)",="(0.010)",="(0.008)",="(0.009)",="(0.008)"
="1 child",="0.015",="",="0.016",="-0.020***",="",="-0.013"
="",="(0.011)",="",="(0.011)",="(0.008)",="",="(0.008)"
="2 children",="0.056***",="",="0.064***",="0.013",="",="0.016*"
="",="(0.012)",="",="(0.012)",="(0.009)",="",="(0.008)"
="3 children",="0.063***",="",="0.056***",="0.014",="",="0.020"
="",="(0.021)",="",="(0.020)",="(0.014)",="",="(0.014)"
="4+ children",="0.013",="",="-0.000",="0.014",="",="0.029"
="",="(0.035)",="",="(0.036)",="(0.028)",="",="(0.028)"
="Poor health",="-0.053***",="-0.068***",="-0.055***",="-0.026***",="-0.036***",="-0.027***"
="",="(0.010)",="(0.011)",="(0.009)",="(0.007)",="(0.008)",="(0.007)"
="Born - Eng speaking",="0.053***",="0.057***",="0.024",="0.040***",="0.038***",="0.022**"
="",="(0.017)",="(0.019)",="(0.016)",="(0.010)",="(0.012)",="(0.010)"
="Born - Non-Eng speaking",="-0.085***",="-0.097***",="-0.092***",="0.003",="-0.030**",="-0.011"
="",="(0.015)",="(0.020)",="(0.014)",="(0.011)",="(0.013)",="(0.011)"
="Married / De Facto",="0.060***",="0.079***",="0.063***",="0.019**",="0.020*",="0.024***"
="",="(0.012)",="(0.014)",="(0.010)",="(0.009)",="(0.011)",="(0.008)"
="Seperated / Widowed",="0.007",="-0.009",="0.012",="-0.001",="-0.026*",="-0.002"
="",="(0.023)",="(0.025)",="(0.019)",="(0.012)",="(0.015)",="(0.012)"
="Rural",="-0.059***",="-0.091***",="-0.038***",="-0.011",="-0.031***",="-0.002"
="",="(0.016)",="(0.016)",="(0.014)",="(0.009)",="(0.011)",="(0.009)"
="VIC",="-0.024*",="",="-0.029**",="-0.040***",="",="-0.040***"
="",="(0.014)",="",="(0.012)",="(0.010)",="",="(0.009)"
="WA",="0.040**",="",="0.055***",="-0.009",="",="-0.010"
="",="(0.019)",="",="(0.017)",="(0.013)",="",="(0.012)"
="QLD",="-0.035**",="",="-0.030**",="-0.039***",="",="-0.036***"
="",="(0.014)",="",="(0.013)",="(0.009)",="",="(0.009)"
="SA",="-0.068***",="",="-0.067***",="-0.016",="",="-0.011"
="",="(0.014)",="",="(0.014)",="(0.012)",="",="(0.011)"
="NT",="-0.008",="",="0.013",="-0.002",="",="-0.001"
="",="(0.068)",="",="(0.069)",="(0.054)",="",="(0.044)"
="TAS",="-0.100***",="",="-0.090***",="-0.045***",="",="-0.050***"
="",="(0.022)",="",="(0.020)",="(0.015)",="",="(0.018)"
="ACT",="0.128***",="",="0.106***",="0.055**",="",="0.061***"
="",="(0.029)",="",="(0.030)",="(0.023)",="",="(0.022)"
="Shiftwork",="0.097***",="",="0.062***",="0.046***",="",="0.021***"
="",="(0.012)",="",="(0.010)",="(0.008)",="",="(0.008)"
="Part Time",="-0.074***",="-0.095***",="-0.052***",="-0.003",="-0.016**",="0.003"
="",="(0.017)",="(0.019)",="(0.017)",="(0.007)",="(0.008)",="(0.007)"
="41+ hours",="0.002",="",="-0.003",="-0.072***",="",="-0.077***"
="",="(0.009)",="",="(0.008)",="(0.009)",="",="(0.009)"
="Casual",="0.001",="-0.031**",="0.029**",="0.012",="-0.031***",="0.033***"
="",="(0.012)",="(0.012)",="(0.013)",="(0.008)",="(0.010)",="(0.008)"
="Tenure",="0.005***",="0.006***",="0.003***",="0.003***",="0.004***",="0.003***"
="",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)"
="Wave=2",="-0.004",="0.004",="0.003",="-0.005",="0.007",="-0.010"
="",="(0.013)",="(0.014)",="(0.014)",="(0.012)",="(0.010)",="(0.012)"
="Wave=3",="0.010",="0.013",="0.014",="0.027**",="0.017",="0.029**"
="",="(0.017)",="(0.015)",="(0.016)",="(0.012)",="(0.012)",="(0.013)"
