,"Private (%)","Public (%)"
"Jun-10","2.8","4.0"
"Sep-10","3.5","4.0"
"Dec-10","3.8","4.0"
"Mar-11","4.0","3.6"
"Jun-11","3.8","3.7"
"Sep-11","3.7","3.3"
"Dec-11","3.8","3.2"
"Mar-12","3.7","3.1"
"Jun-12","3.9","3.3"
"Sep-12","3.7","3.4"
"Dec-12","3.4","3.3"
"Mar-13","3.2","3.1"
"Jun-13","3.0","2.8"
"Sep-13","2.8","2.6"
"Dec-13","2.5","2.7"
"Mar-14","2.6","2.9"
"Jun-14","2.4","2.8"
"Sep-14","2.4","2.7"
"Dec-14","2.5","2.7"
"Mar-15","2.2","2.5"
"Jun-15","2.2","2.5"
"Sep-15","2.1","2.7"
"Dec-15","2.0","2.6"
"Mar-16","2.0","2.5"
"Jun-16","2.0","2.4"
"Sep-16","1.9","2.3"
"Dec-16","1.8","2.3"
"Mar-17","1.8","2.3"
"Jun-17","1.8","2.5"
"Sep-17","1.9","2.4"
"Dec-17","1.9","2.4"
"Mar-18","1.9","2.4"
"Jun-18","2.1","2.3"
"Sep-18","2.1","2.6"
"Dec-18","2.3","2.5"
"Mar-19","2.4","2.4"
"Jun-19","2.3","2.6"
"Sep-19","2.2","2.4"
"Dec-19","2.2","2.2"
"Mar-20","2.1","2.4"
"Jun-20","1.7","2.1"
"Sep-20","1.2","1.8"
"Dec-20","1.4","1.6"
"Mar-21","1.5","1.5"
"Jun-21","1.9","1.3"
"Sep-21","2.3","1.7"
"Dec-21","2.4","2.2"
"Mar-22","2.4","2.2"
"Jun-22","2.7","2.4"
"Sep-22","3.4","2.4"
"Dec-22","3.6","2.5"
"Mar-23","3.8","2.9"
"Jun-23","3.8","3.1"

"Source: Australian Bureau of Statistics, Wage Price Index, Australia June 2023"